Player,Match,Team ID,Role,Credit,Players Link,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next SR,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
VR Iyer,smat2022_033,KKR,AR,8.5,https://www.kkr.in/static-assets/images/players/2020/65430.png?v=5.34&w=200,57,35,1,162.9,1,0,5,2,17.1,2,23,1,11.5,23,12,0,3,1,25,4,8,50,1,7,1,1,12,3,12,1,1,4,10,1,1
D Padikkal,smat2021_096,LSG,Batsman,8,https://www.lucknowsupergiants.in/static-assets/images/players/67589.png?v=9.4,11,10,1,110,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,25,22,113.6363636,0,0,0,20,30,18,25,0,0,0,0,0,0
A Badoni,smat2022_131,LSG,Batsman,8,https://www.lucknowsupergiants.in/static-assets/images/players/69656.png?v=9.4,11,15,1,73.3,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,9,8,112.5,0,1,0,3,16,4,12,0,0,1,2,0,0
KL Rahul,ipl2023_43,LSG,WK,9.5,https://www.lucknowsupergiants.in/static-assets/images/players/60122.png?v=9.44,0,3,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,56,36,155.5555556,0,0,0,49,62,31,40,0,0,0,0,0,0
Q de Kock,t100m2022_31,LSG,WK,9,https://www.lucknowsupergiants.in/static-assets/images/players/28035.png?v=9.4,8,6,1,133.3,0,0,2,0,66.7,0,0,0,0,0,0,0,0,0,0,35,23,152.173913,0,0,0,31,40,21,26,0,0,0,0,0,0
N Pooran,t20blast2019_023,LSG,WK,8.5,https://www.lucknowsupergiants.in/static-assets/images/players/63726.png?v=9.4,43,31,1,138.7,0,0,3,3,38.7,0,0,0,0,0,0,0,0,0,0,19,12,158.3333333,0,0,0,15,22,10,14,0,0,0,0,0,0
Mohsin Khan,ipl2023_63,LSG,Bowler,8,https://www.lucknowsupergiants.in/static-assets/images/players/68182.png?v=9.4,0,0,0,0,0,0,0,0,0,3,26,1,8.67,26,18,0,1,2,55.6,2,1,200,1,20,1,1,5,1,3,1,1,15,26,1,1
Ravi Bishnoi,smat2022_061,LSG,Bowler,8,https://www.lucknowsupergiants.in/static-assets/images/players/71288.png?v=9.4,0,0,0,0,0,0,0,0,0,4,24,3,6,8,8,0,2,0,58.3,0,1,0,0,23,3,0,1,0,1,0,0,21,25,3,4
Yash Thakur,smat2022_135,LSG,Bowler,8,https://www.lucknowsupergiants.in/static-assets/images/players/66819.png?v=9.4,0,0,0,0,0,0,0,0,0,3,25,0,8.33,0,0,0,4,1,55.6,0,0,0,0,30,4,1,0,1,0,0,1,25,35,3,4
Shivam Mavi,smat2022_113,LSG,Bowler,8,https://www.lucknowsupergiants.in/static-assets/images/players/66984.png?v=9.4,0,0,0,0,0,0,0,0,0,2,18,0,9,0,0,0,2,1,58.3,0,0,0,1,26,3,1,2,1,2,1,1,22,29,2,3
DJ Hooda,smat2021_2_049,LSG,AR,8,https://www.lucknowsupergiants.in/static-assets/images/players/63748.png?v=9.4,69,35,0,197.1,1,0,5,5,20,0,0,0,0,0,0,0,0,0,0,39,23,169.5652174,0,2,0,35,43,21,25,0,0,0,4,0,0
KH Pandya,smat2022_108,LSG,AR,8,https://www.lucknowsupergiants.in/static-assets/images/players/63788.png?v=9.4,31,24,1,129.2,0,0,5,0,33.3,0,0,0,0,0,0,0,0,0,0,14,11,127.2727273,0,20,3,11,17,9,13,0,1,18,22,2,3
