Player,Match,Team ID,Role,Credit,Players Link,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next SR,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
DJ Mitchell,t20blast2021_123,CSK,AR,8,https://www.iplt20.com/assets/images/default-headshot.png,43,30,1,143.3,0,0,1,3,23.3,0,0,0,0,0,0,0,0,0,0,31,22,140.9090909,1,18,2,26,36,19,25,0,1,15,21,2,2
DA Warner,ipl2023_64,DC,Batsman,9.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/214.png,46,31,1,148.4,0,0,5,2,38.7,0,0,0,0,0,0,0,0,0,0,41,29,141.3793103,0,0,0,36,46,25,32,0,0,0,0,0,0
PP Shaw,smat2022_136,DC,Batsman,9.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/51.png,11,8,1,137.5,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,27,19,142.1052632,0,0,0,21,32,16,22,0,0,0,0,0,0
HC Brook,t20blast2022_131,DC,Batsman,8,https://www.iplt20.com/assets/images/default-headshot.png,2,4,1,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,12,10,120,0,0,0,7,18,7,13,0,0,0,1,0,0
RR Pant,ipl2022_69,DC,WK,10.5,https://staticg.sportskeeda.com/editor/2023/02/8d54a-16758655779091-1920.jpg?w=80,39,33,1,118.2,0,0,4,1,39.4,0,0,0,0,0,0,0,0,0,0,33,24,137.5,0,0,0,28,38,21,27,0,0,0,0,0,0
A Nortje,sat20_2023_33,DC,Bowler,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/142.png,5,4,0,125,0,0,1,0,50,4,21,2,5.25,10.5,12,0,2,1,75,1,1,100,1,23,3,0,2,0,2,1,1,21,25,3,3
Kuldeep Yadav,smat2022_113,DC,Bowler,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/14.png,0,0,0,0,0,0,0,0,0,3,24,0,8,0,0,0,4,0,38.9,2,3,66.66666667,0,26,3,1,3,2,4,0,1,23,28,3,3
Mukesh Kumar,smat2021_2_100,DC,Bowler,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1462.png,0,0,0,0,0,0,0,0,0,4,34,1,8.5,34,24,0,4,1,37.5,0,0,0,1,15,2,1,1,1,1,0,1,9,22,2,3
KK Ahmed,smat2022_061,DC,Bowler,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/8.png,0,0,0,0,0,0,0,0,0,4,36,1,9,36,24,0,2,2,33.3,0,0,0,1,30,4,1,0,1,1,1,1,28,32,3,4
JA Richardson,ipl2021_11,DC,Bowler,9,https://www.iplt20.com/assets/images/default-headshot.png,0,0,0,0,0,0,0,0,0,4,41,2,10.25,20.5,12,0,2,3,37.5,4,3,133.3333333,2,28,3,2,6,2,5,2,2,26,31,3,4
AR Patel,ipl2023_64,DC,AR,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/110.png,0,0,0,0,0,0,0,0,0,3,27,1,9,27,18,0,4,0,16.7,9,7,128.5714286,1,22,3,7,12,6,9,0,1,20,24,3,3
Lalit Yadav,smat2022_135,DC,AR,8.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/538.png,0,0,0,0,0,0,0,0,0,2.5,32,1,11.29,32,17,0,2,2,17.6,6,8,75,1,21,3,2,11,4,11,0,1,17,26,2,3
MR Marsh,ipl2023_59,DC,AR,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/40.png,3,4,1,75,0,0,0,0,50,1,21,0,21,0,0,0,1,2,16.7,24,16,150,0,20,2,17,31,12,19,0,1,17,23,1,2
B Sai Sudharsan,tnpl2022_32,GT,Batsman,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/976.png,65,42,1,154.8,1,0,8,1,23.8,0,0,0,0,0,0,0,0,0,0,33,27,122.2222222,0,0,0,25,41,22,32,0,0,-1,1,1,0
DA Miller,t20blast2017_131,GT,Batsman,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/128.png,0,2,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,15,13,115.3846154,0,0,0,12,18,11,14,0,0,0,0,0,0
Shubman Gill,smat2022_134,GT,Batsman,10.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/62.png,45,32,1,140.6,0,0,7,1,43.8,0,0,0,0,0,0,0,0,0,0,30,23,130.4347826,0,0,0,24,35,20,27,0,0,0,0,0,0
WP Saha,smat2022_086,GT,WK,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/225.png,1,3,1,33.3,0,0,0,0,66.7,0,0,0,0,0,0,0,0,0,0,12,12,100,0,0,0,7,18,9,16,0,0,0,0,0,0
Mohammed Shami,ipl2023_62,GT,Bowler,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/47.png,0,1,1,0,0,0,0,0,100,4,21,4,5.25,5.2,6,0,1,1,54.2,4,2,200,1,26,3,3,4,2,3,1,1,24,28,3,4
MM Sharma,smat2022_128,GT,Bowler,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/100.png,0,0,0,0,0,0,0,0,0,4,23,1,5.75,23,24,0,2,1,62.5,1,1,100,0,14,2,1,2,1,2,0,1,11,18,2,2
Noor Ahmad,t100m2022_01,GT,Bowler,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/975.png,9,4,0,225,0,0,0,1,25,2.3,31,0,12.4,0,0,0,2,1,13.3,4,5,80,1,18,3,3,5,4,6,0,1,16,20,3,3
SH Johnson,bbl2022_61,GT,Bowler,10,https://www.iplt20.com/assets/images/default-headshot.png,0,0,0,0,0,0,0,0,0,4,37,1,9.25,37,24,0,5,0,33.3,0,0,0,1,13,1,0,0,1,0,0,1,8,18,1,1
R Tewatia,smat2022_128,GT,AR,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/120.png,2,3,1,66.7,0,0,0,0,33.3,2,20,0,10,0,0,0,2,0,8.3,11,8,137.5,1,15,2,8,14,6,10,0,1,13,18,2,2
Rashid Khan,t20blast2022_123,GT,AR,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/218.png,25,12,0,208.3,0,0,1,2,25,4,24,2,6,12,12,0,1,1,33.3,4,3,133.3333333,1,25,4,3,5,2,4,1,1,24,26,4,4
V Shankar,tnpl2021_26,GT,AR,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/61.png,47,40,1,117.5,0,0,3,1,25,2,22,1,11,22,12,0,1,2,41.7,21,15,140,0,14,2,17,25,12,17,0,0,11,16,1,2
M Shahrukh Khan,tnpl2022_32,GT,AR,8,https://www.iplt20.com/assets/images/default-headshot.png,22,17,1,129.4,0,0,2,1,35.3,0,0,0,0,0,0,0,0,0,0,18,13,138.4615385,0,2,0,15,22,11,15,0,0,0,4,0,0
