Player,Role,Team ID,Players_Link,Credit
DL Chahar,Bowler,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/91.png,8.5
M Theekshana,Bowler,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/629.png,8.0
M Pathirana,Bowler,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1014.png,8.0
SN Thakur,Bowler,CSK,https://www.iplt20.com/assets/images/default-headshot.png,8.5
RA Jadeja,AR,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/46.png,9.0
S Dube,AR,CSK,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/211.png,8.5
DJ Mitchell,AR,CSK,https://www.iplt20.com/assets/images/default-headshot.png,8.0
DA Warner,Batsman,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/214.png,9.5
PP Shaw,Batsman,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/51.png,9.5
HC Brook,Batsman,DC,https://www.iplt20.com/assets/images/default-headshot.png,8.0
RR Pant,WK,DC,https://staticg.sportskeeda.com/editor/2023/02/8d54a-16758655779091-1920.jpg?w=80,10.5
A Nortje,Bowler,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/142.png,9.0
Kuldeep Yadav,Bowler,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/14.png,8.5
Mukesh Kumar,Bowler,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1462.png,8.0
KK Ahmed,Bowler,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/8.png,8.5
JA Richardson,Bowler,DC,https://www.iplt20.com/assets/images/default-headshot.png,9.0
AR Patel,AR,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/110.png,9.0
Lalit Yadav,AR,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/538.png,8.5
MR Marsh,AR,DC,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/40.png,9.0
B Sai Sudharsan,Batsman,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/976.png,8.0
DA Miller,Batsman,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/128.png,8.0
Shubman Gill,Batsman,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/62.png,10.5
WP Saha,WK,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/225.png,8.0
Mohammed Shami,Bowler,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/47.png,8.0
MM Sharma,Bowler,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/100.png,8.0
Noor Ahmad,Bowler,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/975.png,8.0
SH Johnson,Bowler,GT,https://www.iplt20.com/assets/images/default-headshot.png,10.0
R Tewatia,AR,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/120.png,8.0
Rashid Khan,AR,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/218.png,9.0
V Shankar,AR,GT,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/61.png,8.0
M Shahrukh Khan,AR,GT,https://www.iplt20.com/assets/images/default-headshot.png,8.0
